iter	Passed	Remaining
0	143	143512
1	144	71992
2	144	48150
3	145	36238
4	146	29087
5	146	24311
6	147	20897
7	147	18333
8	148	16338
9	148	14738
10	149	13431
11	149	12341
12	150	11417
13	150	10632
14	151	9951
15	152	9354
16	152	8828
17	153	8358
18	153	7938
19	154	7558
20	154	7218
21	155	6908
22	155	6623
23	156	6366
24	157	6128
25	157	5912
26	158	5708
27	159	5522
28	159	5344
29	160	5180
30	160	5026
31	161	4883
32	162	4748
33	162	4621
34	163	4502
35	163	4387
36	164	4278
37	164	4174
38	165	4078
39	166	3985
40	166	3897
41	167	3812
42	167	3732
43	168	3654
44	168	3583
45	169	3514
46	170	3447
47	170	3383
48	171	3321
49	171	3262
50	172	3206
51	172	3152
52	173	3099
53	174	3048
54	174	2999
55	175	2952
56	175	2908
57	176	2864
58	176	2822
59	177	2781
60	178	2742
61	178	2703
62	179	2666
63	179	2630
64	180	2595
65	180	2561
66	181	2528
67	182	2496
68	182	2466
69	183	2438
70	184	2411
71	184	2382
72	185	2353
73	185	2325
74	186	2299
75	186	2273
76	187	2247
77	188	2223
78	188	2201
79	189	2177
80	190	2155
81	190	2133
82	190	2108
83	191	2087
84	192	2066
85	192	2048
86	193	2028
87	193	2009
88	194	1990
89	195	1972
90	195	1954
91	196	1935
92	196	1918
93	197	1902
94	198	1886
95	198	1871
96	199	1855
97	199	1839
98	200	1824
99	201	1809
100	201	1794
101	202	1779
102	202	1765
103	203	1751
104	203	1737
105	204	1724
106	205	1710
107	205	1697
108	206	1685
109	207	1674
110	207	1664
111	208	1653
112	209	1641
113	209	1629
114	210	1617
115	210	1606
116	211	1594
117	211	1584
118	212	1574
119	213	1564
120	213	1554
121	214	1542
122	214	1532
123	215	1522
124	215	1511
125	216	1502
126	216	1491
127	217	1481
128	218	1472
129	218	1462
130	219	1454
131	219	1446
132	220	1437
133	221	1429
134	221	1420
135	222	1412
136	222	1404
137	223	1395
138	223	1387
139	224	1378
140	225	1370
141	225	1362
142	226	1354
143	226	1346
144	227	1339
145	227	1331
146	228	1323
147	228	1315
148	229	1308
149	229	1301
150	230	1294
151	230	1288
152	231	1281
153	232	1274
154	232	1268
155	233	1261
156	233	1254
157	234	1248
158	234	1241
159	235	1236
160	235	1228
161	236	1222
162	236	1216
163	237	1211
164	238	1207
165	239	1201
166	239	1195
167	240	1190
168	240	1184
